ss_item_sk,ss_store_sk,ss_customer_sk,ss_sold_date_sk,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_net_profit
493,22,121,3,16,91.48,111.29220979646814,1196.998335231814,1418.04
153,6,400,524,4,84.35,109.44941186534142,318.7469252451887,326.23
304,17,238,52,9,66.21,88.04285274575429,497.53261218649385,563.52
694,21,219,119,2,85.96,113.76788906250167,163.60608650246112,160.92
663,11,169,367,2,5.92,13.988284543340287,11.733651122573308,10.82
835,22,94,117,9,88.46,152.24061258725803,790.1386855578851,723.93
490,27,333,171,9,84.39,113.67109563052242,713.3575961280116,735.96
107,27,467,605,2,98.25,179.54964528526568,179.55947684094943,193.44
368,40,15,701,15,22.22,52.08224282045636,315.1203937896327,312.63
909,27,226,48,5,50.89,65.2581228282416,236.89160491996682,241.43
786,48,296,579,1,71.93,107.26060582104351,71.29358393468247,69.61
634,7,222,678,11,54.31,116.47580892662914,535.5099217056248,578.79
914,40,28,12,13,19.12,38.93631849873614,206.64917358157618,244.25
77,49,252,329,16,85.93,130.025783951431,1366.6706049342642,1356.93
388,26,419,241,2,53.16,69.23982481142214,94.50123226903393,101.54
458,21,61,510,19,47.57,103.17032281337113,726.2760543455066,890.87
1,6,406,619,13,44.17,108.31025624748617,532.5841530549574,548.78
468,22,187,56,17,58.42,132.1206443908046,962.2170843937134,958.84
485,46,337,373,11,58.21,124.0273223069272,526.8500593177527,615.96
649,19,281,535,8,5.21,8.784359411398295,34.23030210302477,38.99
761,47,210,110,6,51.78,79.25323069757876,260.7177762829453,305.14
469,13,367,347,4,93.37,125.12471417150307,329.7432768997058,350.81
469,43,302,517,19,16.71,22.97669814147664,285.6666211162316,314.05
444,38,248,521,17,74.94,166.02252160870634,1251.0946020181364,1217.06
107,25,337,615,19,21.5,42.74219363198689,353.09463535387664,400.95
710,49,128,281,13,44.77,76.88043166369279,505.5174507398097,559.25
423,39,359,525,10,48.02,76.28395136272732,451.5315135715253,438.58
648,14,103,215,11,72.63,146.08927960518352,685.5745352646476,793.78
728,42,500,183,12,92.51,171.61173665965833,1042.249921654836,1013.84
576,31,299,585,11,72.48,175.7984820809232,751.0574737826092,778.21
828,1,268,110,18,32.16,39.64857768156696,479.9293453659985,570.04
165,19,350,257,2,23.99,33.35466220331788,38.97926697852424,46.78
368,29,53,631,10,24.38,56.76751313260288,231.09765333322815,232.61
244,33,402,713,8,75.53,118.87895184740945,563.6947187771605,577.73
1000,44,161,566,13,41.82,53.10900998700311,515.7887227698328,541.31
892,29,425,231,7,63.95,152.51641995802527,421.2054405379713,437.84
618,13,398,199,12,76.74,121.43575788265969,769.3815922799743,879.13
527,8,194,42,3,22.76,39.99068921248893,62.224910762849866,62.64
6,22,239,727,5,20.29,49.07629112006954,81.97039455733182,99.89
641,40,432,678,11,61.7,98.19562797708132,650.182136681342,663.34
326,34,113,189,18,39.02,73.23227453118801,672.3352673961973,687.19
95,23,114,219,6,44.51,91.79452281026374,231.3309258534829,254.7
544,31,288,665,10,25.75,31.194703733476377,240.45033110171093,251.13
941,40,125,41,15,27.83,58.09002568124456,360.75503100723625,402.52
290,2,467,530,4,41.66,94.51578270110808,145.80860162917443,158.98
920,42,99,329,17,47.33,88.41542700414085,796.2761424414628,727.68
547,1,321,68,6,97.3,143.42174876459455,540.5421111414095,570.57
107,14,276,720,7,87.17,204.17204973452291,578.6279265045873,575.06
765,44,79,25,14,66.42,119.35626216376355,805.5950986679043,924.28
258,36,37,589,3,11.96,27.126537166084606,35.24123965811773,32.93
444,21,9,399,14,41.86,86.87157041580947,531.5188668461099,564.37
47,45,435,75,20,11.01,18.33176208590081,198.30493931825615,214.61
89,19,392,449,10,79.75,135.24305233425173,769.128518040369,741.78
140,48,201,559,1,50.03,79.22110466566065,46.36826096421197,47.7
815,47,332,383,10,69.34,169.50919803390417,556.2663108134475,687.45
587,39,202,551,18,18.43,35.23416226115584,271.0399966916118,299.95
353,14,212,662,7,76.09,175.53175519815215,441.2791738056378,527.49
199,8,93,688,6,25.97,58.161323069776344,151.2155541457456,153.25
298,43,35,257,18,48.82,64.81651360600668,830.5317631549898,839.19
688,42,121,103,16,95.4,149.84270858356618,1242.431256324561,1428.27
632,43,157,711,7,35.19,68.95202191786923,224.92648522145313,232.8
173,1,161,253,12,81.73,181.55160124674356,924.3072832035753,976.71
696,47,170,492,14,31.28,56.35726636473862,381.7560244795173,409.87
662,39,42,288,10,51.26,118.73496056659933,424.43297107678484,466.92
642,5,373,78,18,23.66,55.83137126898043,413.0684455570535,414.53
788,38,109,38,1,82.2,157.58333468250527,74.69463568521387,78.74
